State,County,Cases,County,Population,county matches county?,cases per pop
Michigan,Hillsdale,1298,Hillsdale,"45,605",TRUE,0.028461791
Michigan,Houghton,1411,Houghton,"35,684",TRUE,0.039541531
Michigan,Huron,575,Huron,"30,981",TRUE,0.018559762
Michigan,Ingham,7598,Ingham,"292,406",TRUE,0.025984419
Michigan,Ionia,1843,Ionia,"64,697",TRUE,0.028486638
Michigan,Iosco,582,Iosco,"25,127",TRUE,0.023162335
Michigan,Iron,659,Iron,"11,066",TRUE,0.05955178
Michigan,Isabella,2060,Isabella,"69,872",TRUE,0.029482482
Michigan,Jackson,3992,Jackson,"158,510",TRUE,0.025184531
Michigan,Kalamazoo,8175,Kalamazoo,"265,066",TRUE,0.030841375
Michigan,Kalkaska,287,Kalkaska,"18,038",TRUE,0.015910855
Michigan,Kent,27706,Kent,"656,955",TRUE,0.04217336
Michigan,Keweenaw,60,Keweenaw,"2,116",TRUE,0.028355388
Michigan,Lake,160,Lake,"11,853",TRUE,0.013498692
Michigan,Lapeer,1871,Lapeer,"87,607",TRUE,0.021356741
Michigan,Leelanau,305,Leelanau,"21,761",TRUE,0.0140159
Michigan,Lenawee,2051,Lenawee,"98,451",TRUE,0.020832698
Michigan,Livingston,4344,Livingston,"191,995",TRUE,0.022625589
Michigan,Luce,153,Luce,"6,229",TRUE,0.02456253
Michigan,Mackinac,239,Mackinac,"10,799",TRUE,0.022131679
Michigan,Macomb,31164,Macomb,"873,972",TRUE,0.035657893
Michigan,Manistee,297,Manistee,"24,558",TRUE,0.012093819
Michigan,Marquette,2463,Marquette,"66,699",TRUE,0.03692709
Michigan,Mason,498,Mason,"29,144",TRUE,0.017087565
Michigan,Mecosta,1013,Mecosta,"43,453",TRUE,0.023312545
Michigan,Menominee,1151,Menominee,"22,780",TRUE,0.050526778
Michigan,Midland,2500,Midland,"83,156",TRUE,0.030063976
Michigan,Missaukee,231,Missaukee,"15,118",TRUE,0.015279799
Michigan,Monroe,4217,Monroe,"150,500",TRUE,0.028019934
Michigan,Montcalm,1500,Montcalm,"63,888",TRUE,0.023478588
Michigan,Montmorency,112,Montmorency,"9,328",TRUE,0.012006861
Michigan,Muskegon,6028,Muskegon,"173,566",TRUE,0.034730304
Michigan,Newaygo,1286,Newaygo,"48,980",TRUE,0.026255615
